canonical,step,tokens,tokens_billions,loss,grad_norm,tps_per_gpu,mfu_percent
true,250,1048576000,1.048576000,5.745642185211182,0.9986124038696289,29599.46765144085,76.19037523978307
true,260,1090519040,1.090519040,5.764654159545898,1.3563462495803833,29579.944653164905,76.14012215476255
true,270,1132462080,1.132462080,5.671419143676758,1.1859098672866821,29548.740916873154,76.05980231911727
true,280,1174405120,1.174405120,5.6098713874816895,0.7342641353607178,29562.95016717544,76.09637757530619
true,290,1216348160,1.216348160,5.5625176429748535,0.9521192312240601,29574.055211432278,76.12496246402603
true,300,1258291200,1.258291200,5.508324146270752,0.8234273195266724,29557.63065765053,76.08268491597977
true,310,1300234240,1.300234240,5.5181050300598145,1.3370441198349,29562.933922043332,76.0963357595977
true,320,1342177280,1.342177280,5.457417964935303,1.465097427368164,29540.500889839554,76.03859211496534
true,330,1384120320,1.384120320,5.408932209014893,1.0350229740142822,29557.852758375826,76.08325661334274
true,340,1426063360,1.426063360,5.369761943817139,1.2836437225341797,27435.73219152511,70.62082180889291
true,350,1468006400,1.468006400,5.28333854675293,0.9572408199310303,22452.752862291214,57.7944065038213
true,360,1509949440,1.509949440,5.293866157531738,0.9898300766944885,28540.29088827232,73.46400610431854
true,370,1551892480,1.551892480,5.212955951690674,0.614824116230011,29555.35034549635,76.07681528883862
true,380,1593835520,1.593835520,5.244498252868652,1.2210981845855713,29545.183606083465,76.05064563943971
true,390,1635778560,1.635778560,5.131632328033447,0.7082369327545166,20698.788516595323,53.27962254792588
true,400,1677721600,1.677721600,5.060446262359619,0.9427735209465027,29335.03530408264,75.5097143573642
true,410,1719664640,1.719664640,5.018186092376709,0.7075222134590149,29384.129851317448,75.6360859536407
true,420,1761607680,1.761607680,4.960244178771973,0.6000058054924011,29388.767975035502,75.64802469492648
true,430,1803550720,1.803550720,4.964470863342285,0.7674717903137207,29394.086750419396,75.66171546454055
true,440,1845493760,1.845493760,4.920933723449707,0.9927941560745239,29458.774140542722,75.828223747217
true,450,1887436800,1.887436800,4.880627632141113,0.654132604598999,29469.702761131775,75.85635451339625
true,460,1929379840,1.929379840,4.852101802825928,0.6909988522529602,29524.766734599514,75.99809168414892
true,470,1971322880,1.971322880,4.873355865478516,0.6948513984680176,29564.644225705564,76.10073815896968
true,480,2013265920,2.013265920,4.8668599128723145,0.9269680380821228,29562.860051628795,76.09614561379274
true,490,2055208960,2.055208960,4.8430914878845215,0.8395820260047913,29501.9777991356,75.93943192834664
true,500,2097152000,2.097152000,4.816864967346191,0.9146394729614258,24854.782522634,63.97734003876603
true,510,2139095040,2.139095040,4.723707675933838,0.8148941397666931,29569.230057258777,76.11254229784609
true,520,2181038080,2.181038080,4.668826580047607,0.6528316736221313,27469.470115866727,70.7076647597753
true,530,2222981120,2.222981120,4.6291632652282715,0.7416210770606995,29503.38347341672,75.94305019784409
true,540,2264924160,2.264924160,4.58941650390625,0.7836465835571289,18574.626089911653,47.81193190344907
true,550,2306867200,2.306867200,4.6547322273254395,0.9046672582626343,27381.533480252932,70.4813118623639
true,560,2348810240,2.348810240,4.626702308654785,1.0272486209869385,29253.6692184844,75.30027435437076
true,570,2390753280,2.390753280,4.583410263061523,0.9101427793502808,29572.40632541041,76.12071815645223
true,580,2432696320,2.432696320,4.497576713562012,0.5210090279579163,29531.345962790707,76.01502691658547
true,590,2474639360,2.474639360,4.412083625793457,1.002345323562622,29001.327151456037,74.6507344031096
true,600,2516582400,2.516582400,4.42234468460083,0.92662113904953,29462.900778145617,75.83884589999168
true,610,2558525440,2.558525440,4.437955379486084,0.8328338265419006,29557.972143061874,76.0835639149515
true,620,2600468480,2.600468480,4.396478652954102,1.152608871459961,28676.074656870733,73.81351969702268
true,630,2642411520,2.642411520,4.347939491271973,0.8415914177894592,29569.27810523608,76.11266597552378
true,640,2684354560,2.684354560,4.3253936767578125,0.6433915495872498,29556.108950142785,76.0787679716825
true,650,2726297600,2.726297600,4.237409591674805,0.35958537459373474,29527.759524392062,76.0057952611184
